show_id,type,title,title_Cleaned,director,director_Cleaned,cast,country,date_added,release_year,rating,duration,duration_minutes,duration_seasons,listed_in,description
s1,Movie,Show 1,Show 1,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Japan,15-01-2023,1987,R,141 min,141,,Action,Sample description of the show
s2,TV Show,Show 2,Show 2,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,02-11-2021,2003,TV-14,179 min,179,,Comedy,Sample description of the show
s3,TV Show,Show 3,Show 3,,,"Actor A, Actor B, Actor C",South Korea,05-09-2020,2004,PG-13,121 min,121,,Romance,Sample description of the show
s4,TV Show,Show 4,Show 4,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,25-12-2015,2007,PG-13,151 min,151,,Horror,Sample description of the show
s5,TV Show,Show 5,Show 5,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,14-07-2017,2023,TV-PG,7 Seasons,,7,Thriller,Sample description of the show
s7,TV Show,Show 7,Show 7,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,10-08-2015,1991,PG-13,7 Seasons,,7,Horror,Sample description of the show
s8,TV Show,Show 8,Show 8,,,"Actor A, Actor B, Actor C",South Korea,16-04-2016,2002,G,92 min,92,,Horror,Sample description of the show
s9,Movie,Show 9,Show 9,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",,29-04-2018,2022,TV-PG,86 min,86,,Action,Sample description of the show
s10,TV Show,Show 10,Show 10,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,25-05-2018,1999,R,179 min,179,,Horror,Sample description of the show
s11,TV Show,Show 11,Show 11,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,06-05-2017,2021,TV-14,143 min,143,,Horror,Sample description of the show
s12,Movie,Show 12,Show 12,John Smith,John Smith,"Actor A, Actor B, Actor C",India,27-06-2015,2017,PG,121 min,121,,Thriller,Sample description of the show
s14,Movie,Show 14,Show 14,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,26-05-2016,2020,PG-13,124 min,124,,Horror,Sample description of the show
s15,Movie,Show 15,Show 15,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,12-11-2019,1992,TV-MA,133 min,133,,Romance,Sample description of the show
s16,Movie,Show 16,Show 16,,,"Actor A, Actor B, Actor C",India,21-07-2018,1997,TV-14,8 Seasons,,8,Thriller,Sample description of the show
s17,TV Show,Show 17,Show 17,John Smith,John Smith,"Actor A, Actor B, Actor C",India,25-10-2019,1984,TV-14,3 Seasons,,3,Drama,Sample description of the show
s18,Movie,Show 18,Show 18,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,02-12-2015,1986,PG-13,5 Seasons,,5,Thriller,Sample description of the show
s19,TV Show,Show 19,Show 19,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,04-04-2022,1982,R,177 min,177,,Comedy,Sample description of the show
s20,TV Show,Show 20,Show 20,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,,1980,,123 min,123,,Action,Sample description of the show
s21,TV Show,Show 21,Show 21,John Smith,John Smith,"Actor A, Actor B, Actor C",,26-10-2019,2015,TV-MA,167 min,167,,Drama,Sample description of the show
s22,Movie,SHOW 22,Show 22,John Smith,John Smith,"Actor A, Actor B, Actor C",,26-02-2018,1990,TV-14,135 min,135,,Horror,Sample description of the show
s23,TV Show,Show 23,Show 23,John Smith,John Smith,"Actor A, Actor B, Actor C",South Korea,05-06-2015,2016,G,4 Seasons,,4,Thriller,Sample description of the show
s25,Movie,Show 25,Show 25,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Japan,11-08-2015,2018,G,158 min,158,,Comedy,Sample description of the show
s26,TV Show,Show 26,Show 26,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,02-12-2021,2011,PG,4 Seasons,,4,Documentary,Sample description of the show
s27,Movie,Show 27,Show 27,,,,Japan,23-10-2020,1992,G,146 min,146,,Horror,Sample description of the show
s28,TV Show,Show 28,Show 28,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",,23-02-2016,2018,G,166 min,166,,Documentary,Sample description of the show
s29,TV Show,Show 29,Show 29,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,17-06-2018,2007,,5 Seasons,,5,Drama,Sample description of the show
s30,TV Show,Show 30,Show 30,,,"Actor A, Actor B, Actor C",United States,09-10-2018,2018,R,134 min,134,,Drama,Sample description of the show
s31,Movie,Show 31,Show 31,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,27-04-2018,2004,TV-14,120 min,120,,Romance,Sample description of the show
s32,Movie,Show 32,Show 32,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,09-01-2019,2000,TV-MA,96 min,96,,Romance,Sample description of the show
s33,Movie,Show 33,Show 33,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,03-12-2021,1992,R,7 Seasons,,7,Horror,Sample description of the show
s34,Movie,Show 34,Show 34,,,"Actor A, Actor B, Actor C",Canada,03-11-2020,2013,G,8 Seasons,,8,Action,Sample description of the show
s35,TV Show,Show 35,Show 35,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,,1985,TV-PG,110 min,110,,Documentary,Sample description of the show
s36,Movie,Show 36,Show 36,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",United States,09-03-2018,1989,G,109 min,109,,Documentary,Sample description of the show
s37,TV Show,Show 37,Show 37,John Smith,John Smith,,India,13-05-2020,1999,PG-13,149 min,149,,Drama,Sample description of the show
s39,Movie,Show 39,Show 39,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",United Kingdom,04-01-2019,2003,G,94 min,94,,Action,Sample description of the show
s40,TV Show,Show 40,Show 40,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,18-11-2021,2002,TV-PG,116 min,116,,Action,Sample description of the show
s41,TV Show,Show 41,Show 41,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Japan,24-08-2015,2022,R,80 min,80,,Thriller,Sample description of the show
s42,TV Show,Show 42,Show 42,John Smith,John Smith,"Actor A, Actor B, Actor C",Japan,09-12-2018,2023,,85 min,85,,Thriller,Sample description of the show
s43,Movie,SHOW 43,Show 43,,,"Actor A, Actor B, Actor C",,25-12-2017,2000,TV-PG,118 min,118,,Comedy,Sample description of the show
s44,Movie,Show 44,Show 44,John Smith,John Smith,"Actor A, Actor B, Actor C",,14-10-2021,1997,PG-13,167 min,167,,Documentary,Sample description of the show
s45,Movie,Show 45,Show 45,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United States,19-10-2020,2002,TV-MA,177 min,177,,Documentary,Sample description of the show
s46,TV Show,Show 46,Show 46,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,02-03-2022,2021,TV-14,88 min,88,,Drama,Sample description of the show
s47,TV Show,Show 47,Show 47,John Smith,John Smith,"Actor A, Actor B, Actor C",United States,15-10-2018,2009,PG,4 Seasons,,4,Romance,Sample description of the show
s48,Movie,Show 48,Show 48,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",India,13-09-2017,2012,G,139 min,139,,Comedy,Sample description of the show
s49,Movie,Show 49,Show 49,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,02-10-2022,2016,,3 Seasons,,3,Documentary,Sample description of the show
s50,Movie,Show 50,Show 50,,,,South Korea,03-11-2018,1989,,1 Seasons,,1,Comedy,Sample description of the show
s51,TV Show,Show 51,Show 51,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",South Korea,13-08-2017,1981,PG-13,90 min,90,,Romance,Sample description of the show
s52,TV Show,Show 52,Show 52,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",,,2010,TV-PG,3 Seasons,,3,Romance,Sample description of the show
s53,Movie,Show 53,Show 53,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United States,04-09-2021,1981,TV-MA,83 min,83,,Documentary,Sample description of the show
s54,Movie,Show 54,Show 54,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",India,16-06-2016,2007,PG,83 min,83,,Comedy,Sample description of the show
s55,TV Show,Show 55,Show 55,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,17-11-2018,2012,R,177 min,177,,Comedy,Sample description of the show
s56,TV Show,Show 56,Show 56,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,07-03-2015,1983,TV-MA,2 Seasons,,2,Action,Sample description of the show
s57,Movie,Show 57,Show 57,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Canada,14-12-2020,2015,PG-13,1 Seasons,,1,Horror,Sample description of the show
s58,TV Show,Show 58,Show 58,,,"Actor A, Actor B, Actor C",United States,05-10-2019,2013,TV-MA,158 min,158,,Action,Sample description of the show
s59,TV Show,Show 59,Show 59,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,29-07-2018,1990,TV-PG,131 min,131,,Horror,Sample description of the show
s60,TV Show,Show 60,Show 60,John Smith,John Smith,"Actor A, Actor B, Actor C",India,19-06-2017,1995,TV-14,148 min,148,,Documentary,Sample description of the show
s61,Movie,Show 61,Show 61,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Canada,07-08-2015,2015,TV-14,90 min,90,,Documentary,Sample description of the show
s63,Movie,Show 63,Show 63,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",South Korea,09-05-2018,1991,,102 min,102,,Horror,Sample description of the show
s64,TV Show,Show 64,Show 64,  Steven   Spielberg  ,Steven Spielberg,"Actor A, Actor B, Actor C",Canada,05-07-2016,1996,TV-PG,128 min,128,,Documentary,Sample description of the show
s65,Movie,Show 65,Show 65,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",,,1994,,6 Seasons,,6,Drama,Sample description of the show
s66,Movie,Show 66,Show 66,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",Canada,11-02-2017,2021,TV-MA,145 min,145,,Documentary,Sample description of the show
s67,Movie,Show 67,Show 67,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",South Korea,25-06-2020,2008,PG-13,180 min,180,,Drama,Sample description of the show
s68,TV Show,Show 68,Show 68,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",United Kingdom,,2002,PG-13,162 min,162,,Romance,Sample description of the show
s69,TV Show,Show 69,Show 69,Raj Malhotra,Raj Malhotra,"Actor A, Actor B, Actor C",Japan,03-07-2017,1985,R,124 min,124,,Documentary,Sample description of the show
s70,Movie,Show 70,Show 70,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",South Korea,30-06-2022,1996,TV-MA,4 Seasons,,4,Drama,Sample description of the show
s71,Movie,Show 71,Show 71,Raj Malhotra,Raj Malhotra,,Canada,10-06-2022,2013,TV-14,178 min,178,,Drama,Sample description of the show
s72,Movie,Show 72,Show 72,Anita Desai,Anita Desai,"Actor A, Actor B, Actor C",India,14-11-2017,2013,TV-PG,5 Seasons,,5,Documentary,Sample description of the show
s73,TV Show,Show 73,Show 73,John Smith,John Smith,"Actor A, Actor B, Actor C",India,02-01-2015,1988,TV-MA,165 min,165,,Thriller,Sample description of the show
s74,TV Show,SHOW 74,Show 74,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,21-03-2019,1991,PG-13,6 Seasons,,6,Action,Sample description of the show
s75,Movie,Show 75,Show 75,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",United Kingdom,09-12-2018,2021,TV-PG,6 Seasons,,6,Drama,Sample description of the show
s76,TV Show,Show 76,Show 76,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,03-04-2018,1992,R,5 Seasons,,5,Drama,Sample description of the show
s77,Movie,Show 77,Show 77,,,,Japan,19-11-2021,1986,PG-13,179 min,179,,Drama,Sample description of the show
s78,TV Show,Show 78,Show 78,Chris Nolan,Chris Nolan,"Actor A, Actor B, Actor C",Japan,23-06-2021,2021,PG-13,136 min,136,,Drama,Sample description of the show
s79,Movie,Show 79,Show 79,,,"Actor A, Actor B, Actor C",,02-12-2019,2001,TV-MA,176 min,176,,Horror,Sample description of the show
s80,Movie,Show 80,Show 80,John Smith,John Smith,"Actor A, Actor B, Actor C",United Kingdom,13-05-2018,2006,PG-13,139 min,139,,Action,Sample description of the show
